Sample Number: 0
x[0] = 0.55061 | u[0] = 0.07395
x[6] = 0.18062 | u[6] = -0.24720
x[7] = 0.25055 | u[7] = -0.19407
x[8] = 0.12043 | u[8] = -0.30920
x[9] = 0.44674 | u[9] = -0.02598
Sample Number: 90
x[0] = 0.53539 | u[0] = 0.06140
x[1] = 0.66224 | u[1] = 0.18112
x[2] = 0.32224 | u[2] = -0.12381
x[3] = 0.50062 | u[3] = 0.03996
x[4] = 0.81128 | u[4] = 0.32183
x[5] = 0.81584 | u[5] = 0.31780
x[6] = 0.18675 | u[6] = -0.24173
x[7] = 0.25535 | u[7] = -0.18961
x[8] = 0.12809 | u[8] = -0.30225
x[9] = 0.44738 | u[9] = -0.02524
Sample Number: 100
x[0] = 0.53387 | u[0] = 0.06015
x[1] = 0.65775 | u[1] = 0.17707
x[2] = 0.32531 | u[2] = -0.12105
x[3] = 0.49963 | u[3] = 0.03901
x[4] = 0.80331 | u[4] = 0.31454
x[5] = 0.80796 | u[5] = 0.31072
x[6] = 0.19274 | u[6] = -0.23638
x[7] = 0.26005 | u[7] = -0.18525
x[8] = 0.13558 | u[8] = -0.29545
x[9] = 0.44801 | u[9] = -0.02451
Sample Number: 110
x[0] = 0.53237 | u[0] = 0.05892
x[1] = 0.65336 | u[1] = 0.17312
x[2] = 0.32831 | u[2] = -0.11835
x[3] = 0.49866 | u[3] = 0.03809
x[4] = 0.79551 | u[4] = 0.30741
x[5] = 0.80026 | u[5] = 0.30379
x[6] = 0.19860 | u[6] = -0.23114
x[7] = 0.26464 | u[7] = -0.18100
x[8] = 0.14290 | u[8] = -0.28881
x[9] = 0.44861 | u[9] = -0.02380
Sample Number: 120
x[0] = 0.53091 | u[0] = 0.05772
x[1] = 0.64907 | u[1] = 0.16925
x[2] = 0.33124 | u[2] = -0.11572
x[3] = 0.49772 | u[3] = 0.03719
x[4] = 0.78790 | u[4] = 0.30045
x[5] = 0.79273 | u[5] = 0.29702
x[6] = 0.20433 | u[6] = -0.22603
x[7] = 0.26913 | u[7] = -0.17684
x[8] = 0.15006 | u[8] = -0.28232
x[9] = 0.44920 | u[9] = -0.02312
Sample Number: 130
x[0] = 0.52948 | u[0] = 0.05654
x[1] = 0.64487 | u[1] = 0.16548
x[2] = 0.33411 | u[2] = -0.11314
x[3] = 0.49680 | u[3] = 0.03632
x[4] = 0.78045 | u[4] = 0.29365
x[5] = 0.78537 | u[5] = 0.29039
x[6] = 0.20993 | u[6] = -0.22102
x[7] = 0.27351 | u[7] = -0.17278
x[8] = 0.15705 | u[8] = -0.27597
x[9] = 0.44977 | u[9] = -0.02245
Sample Number: 140
x[0] = 0.52808 | u[0] = 0.05539
x[1] = 0.64077 | u[1] = 0.16178
x[2] = 0.33691 | u[2] = -0.11062
x[3] = 0.49590 | u[3] = 0.03546
x[4] = 0.77317 | u[4] = 0.28700
x[5] = 0.77817 | u[5] = 0.28392
x[6] = 0.21541 | u[6] = -0.21613
x[7] = 0.27779 | u[7] = -0.16881
x[8] = 0.16389 | u[8] = -0.26976
x[9] = 0.45033 | u[9] = -0.02180
Sample Number: 150
x[0] = 0.52670 | u[0] = 0.05426
x[1] = 0.63676 | u[1] = 0.15817
x[2] = 0.33965 | u[2] = -0.10816
x[3] = 0.49502 | u[3] = 0.03463
x[4] = 0.76606 | u[4] = 0.28050
x[5] = 0.77113 | u[5] = 0.27759
x[6] = 0.22077 | u[6] = -0.21134
x[7] = 0.28197 | u[7] = -0.16493
x[8] = 0.17058 | u[8] = -0.26369
x[9] = 0.45086 | u[9] = -0.02116
Sample Number: 160
x[0] = 0.52536 | u[0] = 0.05315
x[1] = 0.63284 | u[1] = 0.15465
x[2] = 0.34233 | u[2] = -0.10575
x[3] = 0.49416 | u[3] = 0.03381
x[4] = 0.75911 | u[4] = 0.27415
x[5] = 0.76425 | u[5] = 0.27140
x[6] = 0.22600 | u[6] = -0.20666
x[7] = 0.28606 | u[7] = -0.16114
x[8] = 0.17711 | u[8] = -0.25776
x[9] = 0.45139 | u[9] = -0.02054
Sample Number: 170
x[0] = 0.52404 | u[0] = 0.05207
x[1] = 0.62901 | u[1] = 0.15120
x[2] = 0.34495 | u[2] = -0.10339
x[3] = 0.49332 | u[3] = 0.03301
x[4] = 0.75232 | u[4] = 0.26795
x[5] = 0.75753 | u[5] = 0.26536
x[6] = 0.23113 | u[6] = -0.20209
x[7] = 0.29005 | u[7] = -0.15743
x[8] = 0.18350 | u[8] = -0.25196
x[9] = 0.45189 | u[9] = -0.01994
Sample Number: 180
x[0] = 0.52275 | u[0] = 0.05101
x[1] = 0.62526 | u[1] = 0.14782
x[2] = 0.34752 | u[2] = -0.10108
x[3] = 0.49251 | u[3] = 0.03224
x[4] = 0.74568 | u[4] = 0.26188
x[5] = 0.75095 | u[5] = 0.25944
x[6] = 0.23614 | u[6] = -0.19761
x[7] = 0.29395 | u[7] = -0.15381
x[8] = 0.18974 | u[8] = -0.24629
x[9] = 0.45239 | u[9] = -0.01936
Sample Number: 190
x[0] = 0.52148 | u[0] = 0.04997
x[1] = 0.62160 | u[1] = 0.14453
x[2] = 0.35002 | u[2] = -0.09883
x[3] = 0.49171 | u[3] = 0.03148
x[4] = 0.73919 | u[4] = 0.25595
x[5] = 0.74452 | u[5] = 0.25366
x[6] = 0.24103 | u[6] = -0.19323
x[7] = 0.29776 | u[7] = -0.15027
x[8] = 0.19585 | u[8] = -0.24075
x[9] = 0.45286 | u[9] = -0.01879
Sample Number: 200
x[0] = 0.52024 | u[0] = 0.04895
x[1] = 0.61802 | u[1] = 0.14130
x[2] = 0.35247 | u[2] = -0.09662
x[3] = 0.49093 | u[3] = 0.03074
x[4] = 0.73285 | u[4] = 0.25016
x[5] = 0.73823 | u[5] = 0.24801
x[6] = 0.24582 | u[6] = -0.18895
x[7] = 0.30148 | u[7] = -0.14682
x[8] = 0.20181 | u[8] = -0.23534
x[9] = 0.45333 | u[9] = -0.01824
Sample Number: 210
x[0] = 0.51903 | u[0] = 0.04795
x[1] = 0.61452 | u[1] = 0.13816
x[2] = 0.35487 | u[2] = -0.09447
x[3] = 0.49017 | u[3] = 0.03002
x[4] = 0.72665 | u[4] = 0.24450
x[5] = 0.73209 | u[5] = 0.24248
x[6] = 0.25051 | u[6] = -0.18476
x[7] = 0.30512 | u[7] = -0.14344
x[8] = 0.20764 | u[8] = -0.23004
x[9] = 0.45378 | u[9] = -0.01770
Sample Number: 220
x[0] = 0.51784 | u[0] = 0.04698
x[1] = 0.61109 | u[1] = 0.13508
x[2] = 0.35721 | u[2] = -0.09236
x[3] = 0.48942 | u[3] = 0.02932
x[4] = 0.72059 | u[4] = 0.23897
x[5] = 0.72608 | u[5] = 0.23708
x[6] = 0.25509 | u[6] = -0.18067
x[7] = 0.30867 | u[7] = -0.14014
x[8] = 0.21335 | u[8] = -0.22486
x[9] = 0.45421 | u[9] = -0.01717
Sample Number: 230
x[0] = 0.51667 | u[0] = 0.04602
x[1] = 0.60774 | u[1] = 0.13207
x[2] = 0.35950 | u[2] = -0.09030
x[3] = 0.48870 | u[3] = 0.02863
x[4] = 0.71467 | u[4] = 0.23356
x[5] = 0.72020 | u[5] = 0.23180
x[6] = 0.25956 | u[6] = -0.17666
x[7] = 0.31214 | u[7] = -0.13691
x[8] = 0.21892 | u[8] = -0.21980
x[9] = 0.45464 | u[9] = -0.01666
Sample Number: 240
x[0] = 0.51553 | u[0] = 0.04509
x[1] = 0.60447 | u[1] = 0.12912
x[2] = 0.36173 | u[2] = -0.08828
x[3] = 0.48799 | u[3] = 0.02796
x[4] = 0.70888 | u[4] = 0.22828
x[5] = 0.71446 | u[5] = 0.22664
x[6] = 0.26394 | u[6] = -0.17275
x[7] = 0.31554 | u[7] = -0.13376
x[8] = 0.22436 | u[8] = -0.21485
x[9] = 0.45505 | u[9] = -0.01617
Sample Number: 250
x[0] = 0.51441 | u[0] = 0.04417
x[1] = 0.60127 | u[1] = 0.12625
x[2] = 0.36392 | u[2] = -0.08631
x[3] = 0.48730 | u[3] = 0.02731
x[4] = 0.70322 | u[4] = 0.22312
x[5] = 0.70884 | u[5] = 0.22159
x[6] = 0.26822 | u[6] = -0.16892
x[7] = 0.31885 | u[7] = -0.13068
x[8] = 0.22969 | u[8] = -0.21002
x[9] = 0.45545 | u[9] = -0.01568
Sample Number: 260
x[0] = 0.51332 | u[0] = 0.04327
x[1] = 0.59814 | u[1] = 0.12344
x[2] = 0.36606 | u[2] = -0.08438
x[3] = 0.48662 | u[3] = 0.02667
x[4] = 0.69769 | u[4] = 0.21807
x[5] = 0.70335 | u[5] = 0.21666
x[6] = 0.27241 | u[6] = -0.16517
x[7] = 0.32209 | u[7] = -0.12767
x[8] = 0.23489 | u[8] = -0.20529
x[9] = 0.45583 | u[9] = -0.01521
Sample Number: 270
x[0] = 0.51224 | u[0] = 0.04239
x[1] = 0.59508 | u[1] = 0.12069
x[2] = 0.36815 | u[2] = -0.08249
x[3] = 0.48596 | u[3] = 0.02604
x[4] = 0.69229 | u[4] = 0.21314
x[5] = 0.69798 | u[5] = 0.21184
x[6] = 0.27651 | u[6] = -0.16151
x[7] = 0.32525 | u[7] = -0.12473
x[8] = 0.23998 | u[8] = -0.20066
x[9] = 0.45621 | u[9] = -0.01475
Sample Number: 280
x[0] = 0.51119 | u[0] = 0.04153
x[1] = 0.59209 | u[1] = 0.11800
x[2] = 0.37020 | u[2] = -0.08065
x[3] = 0.48531 | u[3] = 0.02544
x[4] = 0.68701 | u[4] = 0.20832
x[5] = 0.69273 | u[5] = 0.20712
x[6] = 0.28051 | u[6] = -0.15792
x[7] = 0.32834 | u[7] = -0.12185
x[8] = 0.24495 | u[8] = -0.19614
x[9] = 0.45657 | u[9] = -0.01431
Sample Number: 290
x[0] = 0.51016 | u[0] = 0.04069
x[1] = 0.58917 | u[1] = 0.11537
x[2] = 0.37219 | u[2] = -0.07884
x[3] = 0.48468 | u[3] = 0.02484
x[4] = 0.68185 | u[4] = 0.20361
x[5] = 0.68759 | u[5] = 0.20251
x[6] = 0.28442 | u[6] = -0.15442
x[7] = 0.33136 | u[7] = -0.11905
x[8] = 0.24981 | u[8] = -0.19173
x[9] = 0.45693 | u[9] = -0.01387
Sample Number: 300
x[0] = 0.50915 | u[0] = 0.03986
x[1] = 0.58631 | u[1] = 0.11281
x[2] = 0.37415 | u[2] = -0.07708
x[3] = 0.48407 | u[3] = 0.02427
x[4] = 0.67680 | u[4] = 0.19901
x[5] = 0.68258 | u[5] = 0.19800
x[6] = 0.28825 | u[6] = -0.15099
x[7] = 0.33431 | u[7] = -0.11630
x[8] = 0.25457 | u[8] = -0.18741
x[9] = 0.45727 | u[9] = -0.01345
Sample Number: 310
x[0] = 0.50816 | u[0] = 0.03906
x[1] = 0.58351 | u[1] = 0.11030
x[2] = 0.37606 | u[2] = -0.07536
x[3] = 0.48347 | u[3] = 0.02370
x[4] = 0.67187 | u[4] = 0.19451
x[5] = 0.67767 | u[5] = 0.19360
x[6] = 0.29199 | u[6] = -0.14764
x[7] = 0.33719 | u[7] = -0.11362
x[8] = 0.25921 | u[8] = -0.18319
x[9] = 0.45760 | u[9] = -0.01304
Sample Number: 320
x[0] = 0.50719 | u[0] = 0.03827
x[1] = 0.58078 | u[1] = 0.10784
x[2] = 0.37793 | u[2] = -0.07367
x[3] = 0.48288 | u[3] = 0.02315
x[4] = 0.66705 | u[4] = 0.19012
x[5] = 0.67287 | u[5] = 0.18929
x[6] = 0.29565 | u[6] = -0.14437
x[7] = 0.34000 | u[7] = -0.11100
x[8] = 0.26375 | u[8] = -0.17906
x[9] = 0.45792 | u[9] = -0.01264
Sample Number: 330
x[0] = 0.50624 | u[0] = 0.03749
x[1] = 0.57810 | u[1] = 0.10545
x[2] = 0.37975 | u[2] = -0.07202
x[3] = 0.48231 | u[3] = 0.02261
x[4] = 0.66234 | u[4] = 0.18582
x[5] = 0.66818 | u[5] = 0.18508
x[6] = 0.29923 | u[6] = -0.14116
x[7] = 0.34275 | u[7] = -0.10844
x[8] = 0.26819 | u[8] = -0.17502
x[9] = 0.45824 | u[9] = -0.01225
Sample Number: 340
x[0] = 0.50531 | u[0] = 0.03673
x[1] = 0.57549 | u[1] = 0.10310
x[2] = 0.38154 | u[2] = -0.07041
x[3] = 0.48175 | u[3] = 0.02209
x[4] = 0.65773 | u[4] = 0.18162
x[5] = 0.66359 | u[5] = 0.18096
x[6] = 0.30273 | u[6] = -0.13803
x[7] = 0.34544 | u[7] = -0.10594
x[8] = 0.27252 | u[8] = -0.17108
x[9] = 0.45854 | u[9] = -0.01188
Sample Number: 350
x[0] = 0.50440 | u[0] = 0.03599
x[1] = 0.57294 | u[1] = 0.10081
x[2] = 0.38328 | u[2] = -0.06883
x[3] = 0.48120 | u[3] = 0.02158
x[4] = 0.65323 | u[4] = 0.17752
x[5] = 0.65911 | u[5] = 0.17694
x[6] = 0.30615 | u[6] = -0.13496
x[7] = 0.34807 | u[7] = -0.10349
x[8] = 0.27676 | u[8] = -0.16722
x[9] = 0.45883 | u[9] = -0.01151
Sample Number: 360
x[0] = 0.50351 | u[0] = 0.03526
x[1] = 0.57044 | u[1] = 0.09857
x[2] = 0.38499 | u[2] = -0.06728
x[3] = 0.48066 | u[3] = 0.02108
x[4] = 0.64884 | u[4] = 0.17351
x[5] = 0.65472 | u[5] = 0.17300
x[6] = 0.30949 | u[6] = -0.13196
x[7] = 0.35063 | u[7] = -0.10110
x[8] = 0.28091 | u[8] = -0.16345
x[9] = 0.45911 | u[9] = -0.01115
Sample Number: 370
x[0] = 0.50263 | u[0] = 0.03455
x[1] = 0.56799 | u[1] = 0.09638
x[2] = 0.38665 | u[2] = -0.06578
x[3] = 0.48014 | u[3] = 0.02059
x[4] = 0.64454 | u[4] = 0.16959
x[5] = 0.65043 | u[5] = 0.16916
x[6] = 0.31277 | u[6] = -0.12903
x[7] = 0.35313 | u[7] = -0.09877
x[8] = 0.28496 | u[8] = -0.15977
x[9] = 0.45939 | u[9] = -0.01080
Sample Number: 380
x[0] = 0.50178 | u[0] = 0.03385
x[1] = 0.56560 | u[1] = 0.09424
x[2] = 0.38829 | u[2] = -0.06430
x[3] = 0.47963 | u[3] = 0.02011
x[4] = 0.64033 | u[4] = 0.16576
x[5] = 0.64624 | u[5] = 0.16540
x[6] = 0.31596 | u[6] = -0.12616
x[7] = 0.35558 | u[7] = -0.09649
x[8] = 0.28892 | u[8] = -0.15616
x[9] = 0.45966 | u[9] = -0.01047
Sample Number: 390
x[0] = 0.50094 | u[0] = 0.03317
x[1] = 0.56327 | u[1] = 0.09215
x[2] = 0.38988 | u[2] = -0.06286
x[3] = 0.47913 | u[3] = 0.01965
x[4] = 0.63623 | u[4] = 0.16202
x[5] = 0.64214 | u[5] = 0.16172
x[6] = 0.31909 | u[6] = -0.12336
x[7] = 0.35797 | u[7] = -0.09426
x[8] = 0.29279 | u[8] = -0.15264
x[9] = 0.45991 | u[9] = -0.01014
Sample Number: 400
x[0] = 0.50011 | u[0] = 0.03250
x[1] = 0.56099 | u[1] = 0.09010
x[2] = 0.39144 | u[2] = -0.06145
x[3] = 0.47865 | u[3] = 0.01920
x[4] = 0.63221 | u[4] = 0.15836
x[5] = 0.63813 | u[5] = 0.15812
x[6] = 0.32215 | u[6] = -0.12062
x[7] = 0.36031 | u[7] = -0.09208
x[8] = 0.29657 | u[8] = -0.14920
x[9] = 0.46016 | u[9] = -0.00982
Sample Number: 410
x[0] = 0.49931 | u[0] = 0.03184
x[1] = 0.55875 | u[1] = 0.08810
x[2] = 0.39296 | u[2] = -0.06007
x[3] = 0.47817 | u[3] = 0.01876
x[4] = 0.62829 | u[4] = 0.15479
x[5] = 0.63421 | u[5] = 0.15461
x[6] = 0.32514 | u[6] = -0.11794
x[7] = 0.36259 | u[7] = -0.08995
x[8] = 0.30027 | u[8] = -0.14583
x[9] = 0.46041 | u[9] = -0.00950
Sample Number: 420
x[0] = 0.49852 | u[0] = 0.03120
x[1] = 0.55657 | u[1] = 0.08615
x[2] = 0.39445 | u[2] = -0.05872
x[3] = 0.47771 | u[3] = 0.01833
x[4] = 0.62445 | u[4] = 0.15130
x[5] = 0.63038 | u[5] = 0.15118
x[6] = 0.32806 | u[6] = -0.11531
x[7] = 0.36481 | u[7] = -0.08787
x[8] = 0.30388 | u[8] = -0.14254
x[9] = 0.46064 | u[9] = -0.00920
Sample Number: 430
x[0] = 0.49774 | u[0] = 0.03057
x[1] = 0.55443 | u[1] = 0.08424
x[2] = 0.39590 | u[2] = -0.05740
x[3] = 0.47725 | u[3] = 0.01791
x[4] = 0.62070 | u[4] = 0.14788
x[5] = 0.62663 | u[5] = 0.14782
x[6] = 0.33092 | u[6] = -0.11275
x[7] = 0.36699 | u[7] = -0.08584
x[8] = 0.30741 | u[8] = -0.13932
x[9] = 0.46087 | u[9] = -0.00891
Sample Number: 440
x[0] = 0.49698 | u[0] = 0.02996
x[1] = 0.55235 | u[1] = 0.08237
x[2] = 0.39732 | u[2] = -0.05611
x[3] = 0.47681 | u[3] = 0.01750
x[4] = 0.61704 | u[4] = 0.14455
x[5] = 0.62297 | u[5] = 0.14454
x[6] = 0.33371 | u[6] = -0.11024
x[7] = 0.36912 | u[7] = -0.08385
x[8] = 0.31086 | u[8] = -0.13618
x[9] = 0.46109 | u[9] = -0.00862
Sample Number: 450
x[0] = 0.49624 | u[0] = 0.02935
x[1] = 0.55030 | u[1] = 0.08054
x[2] = 0.39872 | u[2] = -0.05484
x[3] = 0.47638 | u[3] = 0.01709
x[4] = 0.61345 | u[4] = 0.14129
x[5] = 0.61939 | u[5] = 0.14133
x[6] = 0.33645 | u[6] = -0.10779
x[7] = 0.37119 | u[7] = -0.08191
x[8] = 0.31424 | u[8] = -0.13310
x[9] = 0.46130 | u[9] = -0.00834
Sample Number: 460
x[0] = 0.49551 | u[0] = 0.02876
x[1] = 0.54831 | u[1] = 0.07876
x[2] = 0.40007 | u[2] = -0.05361
x[3] = 0.47595 | u[3] = 0.01670
x[4] = 0.60995 | u[4] = 0.13810
x[5] = 0.61589 | u[5] = 0.13819
x[6] = 0.33912 | u[6] = -0.10539
x[7] = 0.37322 | u[7] = -0.08001
x[8] = 0.31754 | u[8] = -0.13010
x[9] = 0.46150 | u[9] = -0.00807
Sample Number: 470
x[0] = 0.49480 | u[0] = 0.02819
x[1] = 0.54636 | u[1] = 0.07701
x[2] = 0.40140 | u[2] = -0.05240
x[3] = 0.47554 | u[3] = 0.01632
x[4] = 0.60653 | u[4] = 0.13499
x[5] = 0.61246 | u[5] = 0.13512
x[6] = 0.34173 | u[6] = -0.10304
x[7] = 0.37521 | u[7] = -0.07816
x[8] = 0.32076 | u[8] = -0.12716
x[9] = 0.46170 | u[9] = -0.00780
Sample Number: 480
x[0] = 0.49410 | u[0] = 0.02762
x[1] = 0.54445 | u[1] = 0.07531
x[2] = 0.40270 | u[2] = -0.05122
x[3] = 0.47513 | u[3] = 0.01595
x[4] = 0.60319 | u[4] = 0.13195
x[5] = 0.60911 | u[5] = 0.13212
x[6] = 0.34428 | u[6] = -0.10075
x[7] = 0.37714 | u[7] = -0.07635
x[8] = 0.32391 | u[8] = -0.12429
x[9] = 0.46190 | u[9] = -0.00755
Sample Number: 490
x[0] = 0.49341 | u[0] = 0.02707
x[1] = 0.54258 | u[1] = 0.07364
x[2] = 0.40397 | u[2] = -0.05007
x[3] = 0.47474 | u[3] = 0.01559
x[4] = 0.59992 | u[4] = 0.12897
x[5] = 0.60584 | u[5] = 0.12919
x[6] = 0.34678 | u[6] = -0.09850
x[7] = 0.37903 | u[7] = -0.07458
x[8] = 0.32699 | u[8] = -0.12148
x[9] = 0.46208 | u[9] = -0.00730
Sample Number: 500
x[0] = 0.49274 | u[0] = 0.02652
x[1] = 0.54075 | u[1] = 0.07201
x[2] = 0.40521 | u[2] = -0.04894
x[3] = 0.47435 | u[3] = 0.01523
x[4] = 0.59672 | u[4] = 0.12607
x[5] = 0.60263 | u[5] = 0.12632
x[6] = 0.34922 | u[6] = -0.09631
x[7] = 0.38088 | u[7] = -0.07285
x[8] = 0.33000 | u[8] = -0.11873
x[9] = 0.46226 | u[9] = -0.00706
Sample Number: 510
x[0] = 0.49208 | u[0] = 0.02599
x[1] = 0.53897 | u[1] = 0.07042
x[2] = 0.40642 | u[2] = -0.04783
x[3] = 0.47397 | u[3] = 0.01489
x[4] = 0.59360 | u[4] = 0.12323
x[5] = 0.59950 | u[5] = 0.12352
x[6] = 0.35161 | u[6] = -0.09416
x[7] = 0.38269 | u[7] = -0.07116
x[8] = 0.33294 | u[8] = -0.11605
x[9] = 0.46243 | u[9] = -0.00682
Sample Number: 520
x[0] = 0.49144 | u[0] = 0.02547
x[1] = 0.53722 | u[1] = 0.06886
x[2] = 0.40761 | u[2] = -0.04675
x[3] = 0.47361 | u[3] = 0.01455
x[4] = 0.59054 | u[4] = 0.12045
x[5] = 0.59644 | u[5] = 0.12078
x[6] = 0.35394 | u[6] = -0.09206
x[7] = 0.38445 | u[7] = -0.06951
x[8] = 0.33582 | u[8] = -0.11343
x[9] = 0.46260 | u[9] = -0.00659
Sample Number: 530
x[0] = 0.49081 | u[0] = 0.02496
x[1] = 0.53552 | u[1] = 0.06734
x[2] = 0.40877 | u[2] = -0.04570
x[3] = 0.47325 | u[3] = 0.01422
x[4] = 0.58756 | u[4] = 0.11774
x[5] = 0.59345 | u[5] = 0.11810
x[6] = 0.35622 | u[6] = -0.09001
x[7] = 0.38617 | u[7] = -0.06789
x[8] = 0.33863 | u[8] = -0.11086
x[9] = 0.46276 | u[9] = -0.00637
Sample Number: 540
x[0] = 0.49019 | u[0] = 0.02446
x[1] = 0.53385 | u[1] = 0.06585
x[2] = 0.40990 | u[2] = -0.04466
x[3] = 0.47289 | u[3] = 0.01390
x[4] = 0.58464 | u[4] = 0.11509
x[5] = 0.59052 | u[5] = 0.11549
x[6] = 0.35845 | u[6] = -0.08800
x[7] = 0.38785 | u[7] = -0.06632
x[8] = 0.34138 | u[8] = -0.10836
x[9] = 0.46292 | u[9] = -0.00615
Sample Number: 550
x[0] = 0.48958 | u[0] = 0.02397
x[1] = 0.53222 | u[1] = 0.06439
x[2] = 0.41101 | u[2] = -0.04365
x[3] = 0.47255 | u[3] = 0.01359
x[4] = 0.58179 | u[4] = 0.11250
x[5] = 0.58766 | u[5] = 0.11293
x[6] = 0.36063 | u[6] = -0.08604
x[7] = 0.38949 | u[7] = -0.06478
x[8] = 0.34406 | u[8] = -0.10590
x[9] = 0.46307 | u[9] = -0.00594
Sample Number: 560
x[0] = 0.48898 | u[0] = 0.02350
x[1] = 0.53062 | u[1] = 0.06297
x[2] = 0.41209 | u[2] = -0.04267
x[3] = 0.47221 | u[3] = 0.01328
x[4] = 0.57900 | u[4] = 0.10997
x[5] = 0.58486 | u[5] = 0.11043
x[6] = 0.36277 | u[6] = -0.08412
x[7] = 0.39110 | u[7] = -0.06327
x[8] = 0.34669 | u[8] = -0.10351
x[9] = 0.46322 | u[9] = -0.00573
Sample Number: 570
x[0] = 0.48840 | u[0] = 0.02303
x[1] = 0.52906 | u[1] = 0.06158
x[2] = 0.41315 | u[2] = -0.04170
x[3] = 0.47188 | u[3] = 0.01299
x[4] = 0.57628 | u[4] = 0.10749
x[5] = 0.58212 | u[5] = 0.10798
x[6] = 0.36485 | u[6] = -0.08224
x[7] = 0.39267 | u[7] = -0.06180
x[8] = 0.34925 | u[8] = -0.10117
x[9] = 0.46336 | u[9] = -0.00553
Sample Number: 580
x[0] = 0.48783 | u[0] = 0.02257
x[1] = 0.52753 | u[1] = 0.06022
x[2] = 0.41418 | u[2] = -0.04076
x[3] = 0.47156 | u[3] = 0.01269
